iter	Passed	Remaining
0	0	852
1	1	716
2	2	670
3	2	637
4	3	628
5	5	871
6	7	1098
7	8	1042
8	9	997
9	9	957
10	10	949
11	11	919
12	11	894
13	12	873
14	12	850
15	13	829
16	14	813
17	14	800
18	15	785
19	15	775
20	16	766
21	17	757
22	17	749
23	18	740
24	18	733
25	22	843
26	23	855
27	24	850
28	25	860
29	26	851
30	26	840
31	27	830
32	28	821
33	28	812
34	29	804
35	30	806
36	30	798
37	31	792
38	31	785
39	32	778
40	33	772
41	33	767
42	37	841
43	39	855
44	41	880
45	42	879
46	43	872
47	43	867
48	44	859
49	44	852
50	45	845
51	46	839
52	46	833
53	47	826
54	47	822
55	52	882
56	53	892
57	54	889
58	55	883
59	56	879
60	56	872
61	57	866
62	57	860
63	58	854
64	59	849
65	59	843
66	60	838
67	61	837
68	61	832
69	62	826
70	62	822
71	63	817
72	70	901
73	71	896
74	72	890
75	72	883
76	73	877
77	73	871
78	74	869
79	75	863
80	75	857
81	76	852
82	76	844
83	77	839
84	77	834
85	78	829
86	78	824
87	82	859
88	84	864
89	86	869
90	86	865
91	87	863
92	88	859
93	88	855
94	89	851
95	89	845
96	90	840
97	90	836
98	91	831
99	91	826
100	92	821
101	92	817
102	93	815
103	94	812
104	99	851
105	100	848
106	101	845
107	102	850
108	103	846
109	104	843
110	104	839
111	105	835
112	105	831
113	106	830
114	107	826
115	108	823
116	108	820
117	109	816
118	109	813
119	112	824
120	113	824
121	114	821
122	115	820
123	116	819
124	116	816
125	117	813
126	117	808
127	118	804
128	119	804
129	119	800
130	120	796
131	120	793
132	121	789
133	121	787
134	122	785
135	123	783
136	123	780
137	131	824
138	132	822
139	133	819
140	134	817
141	134	812
142	135	809
143	135	805
144	136	802
145	136	798
146	137	795
147	137	791
148	137	788
149	138	786
150	139	782
151	139	779
152	142	791
153	143	790
154	144	788
155	145	786
156	145	783
157	146	780
158	146	777
159	147	774
160	147	770
161	148	767
162	149	765
163	149	762
